time,X
0,0
0.01,0.095106287162256
0.02,0.182656093589995
0.03,0.265602826696913
0.04,0.346481166443825
0.05,0.427515455819133
0.06,0.510702184341952
0.07,0.597889121556312
0.08,0.690830088598644
0.09,0.79123914597124
0.1,0.900838279582757
0.11,1.02139656878627
0.12,1.15476785305116
0.13,1.30292538260386
0.14,1.46799433780118
0.15,1.65228319782784
0.16,1.85831368919069
0.17,2.08884925134233
0.18,2.34692125395065
0.19,2.63585169898752
0.2,2.95927036413921
0.21,3.3211230416723
0.22,3.72566620444334
0.23,4.17744143664647
0.24,4.68122026897894
0.25,5.24190674648453
0.26,5.86438093187644
0.27,6.55326172815221
0.28,7.31256237468558
0.29,8.14520767528443
0.3,9.05238039945252
0.31,10.032668658414
0.32,11.0810014527424
0.33,12.1873928455461
0.34,13.3355727932371
0.35,14.5016759005923
0.36,15.6532667779172
0.37,16.749104110556
0.38,17.7401142100156
0.39,18.5720234843928
0.4,19.189770739572
0.41,19.543464353343
0.42,19.594972840404
0.43,19.3237742913171
0.44,18.7305653684396
0.45,17.837641096904
0.46,16.6858680453207
0.47,15.3290707646677
0.48,13.8272585440582
0.49,12.2401771563056
0.5,10.6222576606234
0.51,9.01943183956085
0.52,7.46775761443363
0.53,5.99345517011703
0.54,4.61386130448838
0.55,3.33884501929476
0.56,2.17235867507562
0.57,1.11390748219627
0.58,0.15982517270846
0.59,-0.695679649803477
0.6,-1.4597165258015
0.61,-2.14009042468249
0.62,-2.74485345323601
0.63,-3.28198546741917
0.64,-3.75918656423717
0.65,-4.18372960057232
0.66,-4.56238049498179
0.67,-4.9013565270167
0.68,-5.20631014115007
0.69,-5.48233406249839
0.7,-5.73397814667644
0.71,-5.96527432345845
0.72,-6.17976609566668
0.73,-6.38053985545291
0.74,-6.57025648776582
0.75,-6.75118239041892
0.76,-6.92521871585874
0.77,-7.09392864560418
0.78,-7.25856254986934
0.79,-7.42008095161855
0.8,-7.57917546360141
0.81,-7.73628794908112
0.82,-7.89162824656179
0.83,-8.04519087356708
0.84,-8.19677117193666
0.85,-8.34598138886079
0.86,-8.49226719774722
0.87,-8.63492514880533
0.88,-8.77312149840746
0.89,-8.90591279577192
0.9,-9.03226850365757
0.91,-9.15109579651442
0.92,-9.26126651729937
0.93,-9.36164608844656
0.94,-9.45112397220982
0.95,-9.5286450731254
0.96,-9.59324128592356
0.97,-9.64406223290172
0.98,-9.68040412280411
0.99,-9.70173561405545
1,-9.70771959010396
1.01,-9.69822990476284
1.02,-9.67336217423775
1.03,-9.63343803069298
1.04,-9.57900291576489
1.05,-9.51081723133683
1.06,-9.429841194399
1.07,-9.33721417243809
1.08,-9.23422952663827
1.09,-9.12230606002858
1.1,-9.00295733180268
1.11,-8.87776007284091
1.12,-8.7483229508704
1.13,-8.61625677104401
1.14,-8.48314704640691
1.15,-8.35052962300248
1.16,-8.21986986124518
1.17,-8.09254563968737
1.18,-7.96983425355348
1.19,-7.85290308596613
1.2,-7.74280381515769
1.21,-7.64046978696251
1.22,-7.54671611395165
1.23,-7.46224203004974
1.24,-7.38763502250283
1.25,-7.32337623267436
1.26,-7.26984667924408
1.27,-7.22733395023771
1.28,-7.19603891325133
1.29,-7.17608216676791
1.3,-7.16750997545707
1.31,-7.17029945782473
1.32,-7.18436290138302
1.33,-7.20955108766953
1.34,-7.24565553916884
1.35,-7.29240966503098
1.36,-7.34948883618497
1.37,-7.41650943143948
1.38,-7.4930269577151
1.39,-7.57853337227815
1.4,-7.67245375185998
1.41,-7.77414255375873
1.42,-7.88287971657209
1.43,-7.99786689298351
1.44,-8.11822415753768
1.45,-8.24298757070903
1.46,-8.37110801334079
1.47,-8.50145172855085
1.48,-8.63280299634796
1.49,-8.76386942336531
1.5,-8.89329026304553
1.51,-9.01964794310785
1.52,-9.14148313540121
1.53,-9.25731347908398
1.54,-9.36565583538443
1.55,-9.46505175122392
1.56,-9.55409564250777
1.57,-9.63146494669415
1.58,-9.69595127584857
1.59,-9.74649141703904
1.6,-9.78219689110035
1.61,-9.80238071758573
1.62,-9.80658004650283
1.63,-9.79457345664435
1.64,-9.76639196479392
1.65,-9.72232300999715
1.66,-9.66290697128623
1.67,-9.58892635213855
1.68,-9.50138808525944
1.69,-9.40149971744099
1.7,-9.29064056320952
1.71,-9.17032914814142
1.72,-9.04218837715137
1.73,-8.90790987536456
1.74,-8.76921888627407
1.75,-8.6278407672021
1.76,-8.48547122968965
1.77,-8.34374934983595
1.78,-8.20423431962231
1.79,-8.06838756599294
1.8,-7.93755864173427
1.81,-7.812975371247
1.82,-7.69573924274757
1.83,-7.586823002275
1.84,-7.48707129759059
1.85,-7.39720420494651
1.86,-7.31782248817725
1.87,-7.24941420911918
1.88,-7.19236217571274
1.89,-7.14695175955543
1.9,-7.11337868814813
1.91,-7.09175646794774
1.92,-7.08212315682436
1.93,-7.08444726334641
1.94,-7.09863260472577
1.95,-7.12452200655044
1.96,-7.16189977447744
1.97,-7.21049291179447
1.98,-7.26997109801521
1.99,-7.33994548350273
2,-7.41996639470548
2.01,-7.50952008504522
2.02,-7.6080247087376
2.03,-7.71482573944913
2.04,-7.8291911028045
2.05,-7.95030634081851
2.06,-8.07727017599067
2.07,-8.20909089076712
2.08,-8.34468398101619
2.09,-8.48287155786453
2.1,-8.62238404873188
2.11,-8.76186473145203
2.12,-8.8998774415103
2.13,-9.03491795535661
2.14,-9.16542938457981
2.15,-9.28982170943954
2.16,-9.40649539096685
2.17,-9.51386883232694
2.18,-9.6104091263875
2.19,-9.69466530431804
2.2,-9.76530312029
2.21,-9.8211399704663
2.22,-9.86117851539159
2.23,-9.88463743176553
2.24,-9.89097764751544
2.25,-9.87992281186102
2.26,-9.85147274252029
2.27,-9.80590888931564
2.28,-9.74379137497969
2.29,-9.66594766702549
2.3,-9.57345329164744
2.31,-9.46760556299728
2.32,-9.34989156096776
2.33,-9.22195168680675
2.34,-9.0855406881478
2.35,-8.9424878005309
2.36,-8.79465755087487
2.37,-8.64391274140817
2.38,-8.49208073454788
2.39,-8.3409238267138
2.4,-8.19211440898126
2.41,-8.04721522394677
2.42,-7.907664661817
2.43,-7.77476690113127
2.44,-7.64968650508421
2.45,-7.53344694319712
2.46,-7.4269324357324
2.47,-7.33089247808496
2.48,-7.24594840016112
2.49,-7.17260134282017
2.5,-7.11124108019047
2.51,-7.06215517695083
2.52,-7.02553803721022
2.53,-7.00149947156351
2.54,-6.99007247776839
2.55,-6.99121999579237
2.56,-7.00484045680504
2.57,-7.03077200174727
2.58,-7.06879530780698
2.59,-7.11863498704393
2.6,-7.17995954577583
2.61,-7.25237998993775
2.62,-7.33544716833935
2.63,-7.428647981821
2.64,-7.53140063799446
2.65,-7.64304918001105
2.66,-7.76285756724273
2.67,-7.89000364035265
2.68,-8.02357336074753
2.69,-8.16255577180164
2.7,-8.30583918363729
2.71,-8.45220912962884
2.72,-8.60034867500342
2.73,-8.74884166866926
2.74,-8.89617947927543
2.75,-9.0407718114804
2.76,-9.18096203601073
2.77,-9.31504706635419
2.78,-9.44130201660554
2.79,-9.55800947441458
2.8,-9.66349284381573
2.81,-9.75615290299263
2.82,-9.83450647355661
2.83,-9.89722575642478
2.84,-9.94317671688108
2.85,-9.97145468846074
2.86,-9.98141536624015
2.87,-9.97269945375403
2.88,-9.94524950793884
2.89,-9.89931786806726
2.9,-9.83546503751475
2.91,-9.75454841892539
2.92,-9.65770188151444
2.93,-9.54630711605064
2.94,-9.42195820540464
2.95,-9.28642116180777
2.96,-9.14159035049809
2.97,-8.98944377000524
2.98,-8.83199906584586
2.99,-8.67127194520497
3,-8.50923836604305
3.01,-8.34780152973629
3.02,-8.18876434345557
3.03,-8.03380767102409
3.04,-7.88447438242592
3.05,-7.74215887928143
3.06,-7.60810164854368
3.07,-7.48338834997207
3.08,-7.36895257274719
3.09,-7.26558154284726
3.1,-7.17392407431223
3.11,-7.09450005694595
3.12,-7.02771082870679
3.13,-6.97384986011195
3.14,-6.9331132583888
3.15,-6.90560968683323
3.16,-6.89136935172704
3.17,-6.8903517815146
3.18,-6.90245226227534
3.19,-6.92750677154243
3.2,-6.9652953058113
3.21,-7.015543576279
3.22,-7.07792310342311
3.23,-7.15204974362664
3.24,-7.23748075708632
3.25,-7.33371054399457
3.26,-7.44016518629919
3.27,-7.55619607065237
3.28,-7.68107286079832
3.29,-7.81397614941651
3.3,-7.95399019688779
3.31,-8.10009622982437
3.32,-8.25116683897045
3.33,-8.40596207806778
3.34,-8.56312789185279
3.35,-8.72119760843439
3.36,-8.87859721268478
3.37,-9.03365485908805
3.38,-9.18461529664029
3.39,-9.32965964398396
3.4,-9.46693066307369
3.41,-9.59456340652728
3.42,-9.71072086421144
3.43,-9.81363376582002
3.44,-9.90164337377115
3.45,-9.97324584707099
3.46,-10.0271361808771
3.47,-10.0622497114758
3.48,-10.077799005037
3.49,-10.0733039357014
3.5,-10.04861341122
3.51,-10.0039172161726
3.52,-9.93974694919728
3.53,-9.85696581769124
3.54,-9.75674777214142
3.55,-9.64054691898817
3.56,-9.51005888300246
3.57,-9.3671760819868
3.58,-9.21393890909504
3.59,-9.05248542469687
3.6,-8.88500169119344
3.61,-8.71367469598433
3.62,-8.54064960454414
3.63,-8.36799240880743
3.64,-8.19765873795729
3.65,-8.03146936187658
3.66,-7.87109240028352
3.67,-7.71803182401497
3.68,-7.57362173471561
3.69,-7.43902569483204
3.7,-7.31524029910088
3.71,-7.20310211904239
3.72,-7.10329715725424
3.73,-7.01637199859939
3.74,-6.94274593315039
3.75,-6.88272339701469
3.76,-6.83650618005127
3.77,-6.80420493755578
3.78,-6.78584964801344
3.79,-6.78139871732551
3.8,-6.79074652501281
3.81,-6.81372927523365
3.82,-6.85012905530107
3.83,-6.89967606042405
3.84,-6.96204900965192
3.85,-7.03687378802947
3.86,-7.12372035753592
3.87,-7.2220981137279
3.88,-7.33144984521424
3.89,-7.45114450127456
3.9,-7.58046904262305
3.91,-7.7186197125262
3.92,-7.86469313567562
3.93,-8.01767772978411
3.94,-8.17644599619128
3.95,-8.33974833551439
3.96,-8.50620910603469
3.97,-8.67432569693369
3.98,-8.84247141466105
3.99,-9.0089029662491
4,-9.17177320963355
4.01,-9.32914987485221
4.02,-9.47904064716798
4.03,-9.61942437416234
4.04,-9.7482883889232
4.05,-9.86367129842319
4.06,-9.96371001443404
4.07,-10.0466893596555
4.08,-10.111092271168
4.09,-10.1556482463065
4.1,-10.179377593983
4.11,-10.1816289396989
4.12,-10.1621076965439
4.13,-10.1208935930117
4.14,-10.0584460097102
4.15,-9.9755965291437
4.16,-9.87352892549451
4.17,-9.75374757296531
4.18,-9.61803596193477
4.19,-9.46840754195379
4.2,-9.30705146391002
4.21,-9.13627592961772
4.22,-8.9584517835853
4.23,-8.77595873230229
4.24,-8.59113617657651
4.25,-8.40624017036585
4.26,-8.22340752184013
4.27,-8.04462751962676
4.28,-7.87172132860487
4.29,-7.7063287133662
4.3,-7.54990149151403
4.31,-7.40370280482106
4.32,-7.26881131958161
4.33,-7.14612934208279
4.34,-7.03639383062124
4.35,-6.94018935849644
4.36,-6.85796222174504
4.37,-6.79003490653801
4.38,-6.73662030598758
4.39,-6.69783516079402
4.4,-6.67371230782023
4.41,-6.66421142219663
4.42,-6.66922801727845
4.43,-6.68860054296013
4.44,-6.72211548292854
4.45,-6.76951040346442
4.46,-6.8304749488691
4.47,-6.90464982452968
4.48,-6.99162383557928
4.49,-7.09092909326929
4.5,-7.20203454431336
4.51,-7.32433801654281
4.52,-7.45715704390107
4.53,-7.59971876392972
4.54,-7.75114934820749
4.55,-7.91046334336503
4.56,-8.0765535753517
4.57,-8.24818226995003
4.58,-8.42397411984683
4.59,-8.60241230870325
4.6,-8.78183817609421
4.61,-8.96045555848247
4.62,-9.13634075162113
4.63,-9.30745889074868
4.64,-9.47168733353083
4.65,-9.62684639047493
4.66,-9.77073741474929
4.67,-9.90118753859922
4.68,-10.0161004423216
4.69,-10.1135112861379
4.7,-10.1916436975557
4.71,-10.2489662966248
4.72,-10.2842458918031
4.73,-10.2965943442224
4.74,-10.2855062308575
4.75,-10.2508848169342
4.76,-10.193054514083
4.77,-10.1127588359959
4.78,-10.0111427890499
4.79,-9.88972229970224
4.8,-9.7503411531751
4.81,-9.59511796016709
4.82,-9.42638598940398
4.83,-9.24662948053739
4.84,-9.05841935947645
4.85,-8.86435112487114
4.86,-8.66698773417736
4.87,-8.46880903547246
4.88,-8.27216937855476
4.89,-8.0792639772773
4.9,-7.89210413791751
4.91,-7.71250107397164
4.92,-7.54205760238203
4.93,-7.38216676299432
4.94,-7.23401625342795
4.95,-7.09859750358209
4.96,-6.97671822543296
4.97,-6.86901733950799
4.98,-6.77598128298326
4.99,-6.69796082996515
5,-6.635187688772
5.01,-6.58779027899389
5.02,-6.5558082256507
5.03,-6.53920511069366
5.04,-6.53787937327253
5.05,-6.55167310036626
5.06,-6.58037858165955
5.07,-6.62374255490501
5.08,-6.68146817987072
5.09,-6.75321474384036
5.1,-6.83859515768756
5.11,-6.93717134160464
5.12,-7.04844762954894
5.13,-7.17186236479747
5.14,-7.30677791100046
5.15,-7.45246936459298
5.16,-7.6081123308001
5.17,-7.77277021546668
5.18,-7.94538158855372
5.19,-8.12474828966174
5.2,-8.30952506585323
5.21,-8.49821164912129
5.22,-8.6891482831264
5.23,-8.88051578090382
5.24,-9.07034121862509
5.25,-9.25651032467982
5.26,-9.43678748786296
5.27,-9.60884406575962
5.28,-9.77029531161129
5.29,-9.91874577402973
5.3,-10.0518423859552
5.31,-10.1673339691016
5.32,-10.2631347632955
5.33,-10.3373898109533
5.34,-10.3885386151086
5.35,-10.4153736500752
5.36,-10.4170903318497
5.37,-10.3933245258034
5.38,-10.3441758932348
5.39,-10.2702148182728
5.4,-10.1724720333051
5.41,-10.05241118562
5.42,-9.91188616088388
5.43,-9.75308547478437
5.44,-9.57846710650893
5.45,-9.39068723596933
5.46,-9.1925268192243
5.47,-8.98681952895802
5.48,-8.77638435909056
5.49,-8.56396529279923
5.5,-8.35217992958765
5.51,-8.14347807728962
5.52,-7.94011075101482
5.53,-7.74410924685541
5.54,-7.55727364772851
5.55,-7.38116968475407
5.56,-7.21713263620887
5.57,-7.06627693060629
5.58,-6.92951004083595
5.59,-6.80754947107527
5.6,-6.70094136339348
5.61,-6.61008012135319
5.62,-6.53522783472134
5.63,-6.47653286450451
5.64,-6.43404711005152
5.65,-6.40774138408546
5.66,-6.3975187545901
5.67,-6.40322556741229
5.68,-6.42465999936252
5.69,-6.46157804985486
5.7,-6.51369700774768
5.71,-6.58069638478258
5.72,-6.66221636186249
5.73,-6.7578538308774
5.74,-6.86715613689229
5.75,-6.98961266107374
5.76,-7.12464442869047
5.77,-7.27159198020238
5.78,-7.42970181424445
5.79,-7.59811179901638
5.8,-7.77583605509273
5.81,-7.96174993727822
5.82,-8.15457588239297
5.83,-8.35287103753722
5.84,-8.55501772773865
5.85,-8.75921794152317
5.86,-8.96349318066108
5.87,-9.16569086922808
5.88,-9.363498685408
5.89,-9.55446784775292
5.9,-9.73604621631488
5.91,-9.90562149444259
5.92,-10.0605743177264
5.93,-10.1983402413264
5.94,-10.3164788619345
5.95,-10.412747470939
5.96,-10.4851758966729
5.97,-10.5321386154884
5.98,-10.5524199021708
5.99,-10.5452678295461
6,-10.5104333527901
6.01,-10.4481915256523
6.02,-10.3593429716703
6.03,-10.2451952082197
6.04,-10.1075246793096
6.05,-9.94852173404079
6.06,-9.77072197861998
6.07,-9.57692809903498
6.08,-9.3701266521948
6.09,-9.15340429484385
6.1,-8.9298675473488
6.11,-8.70256951328089
6.12,-8.47444614541145
6.13,-8.24826373399362
6.14,-8.0265784326855
6.15,-7.81170777892056
6.16,-7.60571367930006
